match_id,game,date,tournament,series,team1_id,team1_name,team2_id,team2_name,winner_id,label,n_games
1438951,cs-go,2026-04-16 10:47:59+00:00,Playoffs,Season 47 2026,128327,Young Ninjas,135474,Fire Flux Esports,128327,1,3
1400949,cs-go,2026-04-16 11:43:20+00:00,Playoffs,Series 6 2026,130360,ARCRED,129440,Metizport,129440,0,5
1431931,cs-go,2026-04-16 13:06:29+00:00,Group Stage,Season 7 2026,3266,ESC Gaming,136900,Ursa,3266,1,3
1447166,cs-go,2026-04-16 14:12:41+00:00,Main Stage,Season 25 2026,134320,aimclub,135326,Wingman,134320,1,3
1448718,cs-go,2026-04-16 15:20:14+00:00,Regular Season,Advanced Europe season 57 2026,137500,CYBERSHOKE Prospects,128935,bankaPEPSI,137500,1,1
1431932,cs-go,2026-04-16 15:57:35+00:00,Group Stage,Season 7 2026,126944,1WIN,135673,Nuclear TigeRES,135673,0,3
1448720,cs-go,2026-04-16 16:55:01+00:00,Regular Season,Advanced Europe season 57 2026,137271,FC Famalicão Esports,128935,bankaPEPSI,128935,0,1
1447111,cs-go,2026-04-16 17:02:46+00:00,Regular Season,Advanced Europe season 57 2026,138479,uust _esports,126515,ENRAGE,126515,0,1
1448719,cs-go,2026-04-16 17:02:54+00:00,Regular Season,Advanced Europe season 57 2026,137500,CYBERSHOKE Prospects,128629,megoshort,128629,0,1
1447167,cs-go,2026-04-16 17:52:00+00:00,Main Stage,Season 25 2026,128766,Spirit Academy,133571,Wave Esports,128766,1,3
1448721,cs-go,2026-04-16 18:05:30+00:00,Regular Season,Advanced Europe season 57 2026,138419,PURE,126515,ENRAGE,126515,0,1
1436243,cs-go,2026-04-16 18:34:24+00:00,Regular Season,Advanced Europe season 57 2026,135978,eternal premium,135227,ENJOY,135227,0,1
1431933,cs-go,2026-04-16 18:48:58+00:00,Group Stage,Season 7 2026,136560,Phantom,128519,GenOne,128519,0,3
1448722,cs-go,2026-04-16 18:52:19+00:00,Regular Season,Advanced Europe season 57 2026,137271,FC Famalicão Esports,138478,Project 91,138478,0,1
1448772,cs-go,2026-04-16 19:27:04+00:00,Group B,April 2026,137459,Alzon,129384,FURIA fe,129384,0,1
1448723,cs-go,2026-04-16 19:44:47+00:00,Regular Season,Advanced Europe season 57 2026,137943,LFO,137331,hindsight,137943,1,1
1448724,cs-go,2026-04-16 19:58:59+00:00,Regular Season,Advanced Europe season 57 2026,137449,OlyBet SB,138561,TEAM_COPH9K,137449,1,1
1447168,cs-go,2026-04-16 20:52:37+00:00,Main Stage,Season 25 2026,134057,HAVENs,137735,Nebula In Chaox,137735,0,3
1447263,cs-go,2026-04-16 22:59:21+00:00,Playoffs,Challengers #1 2026,137143,R2 Esports Club,138276,ALKA GAMING,138276,0,3
1447262,cs-go,2026-04-16 23:39:41+00:00,Playoffs,Challengers #1 2026,131849,paiN Academy,137468,Vexa,131849,1,3
1445112,cs-go,2026-04-17 01:14:59+00:00,Playoffs,Eagle Masters season 7 2026,133538,Akimbo Esports,138378,CHICANERY,133538,1,3
1447260,cs-go,2026-04-17 02:12:48+00:00,Playoffs,Challengers #1 2026,129800,MIBR Academy,130605,UNO MILLE,129800,1,3
1447261,cs-go,2026-04-17 02:33:13+00:00,Playoffs,Challengers #1 2026,128378,Procyon Gaming,137320,Vasco Esports,137320,0,3
1450385,cs-go,2026-04-17 10:05:02+00:00,Group A,Regular season 4 2026,128394,AaB Esport,126694,BIG Academy,126694,0,3
1431934,cs-go,2026-04-17 10:47:35+00:00,Group Stage,Season 7 2026,137948,TDK,133994,Oxuji Esports,137948,1,3
1449856,cs-go,2026-04-17 11:42:42+00:00,Main Stage,Season 25 2026,131561,Partizan Esport,137735,Nebula In Chaox,131561,1,3
1431935,cs-go,2026-04-17 13:18:51+00:00,Group Stage,Season 7 2026,137546,Acend,134964,Favbet,137546,1,3
1450386,cs-go,2026-04-17 14:11:04+00:00,Group A,Regular season 4 2026,131591,XI Esport,136593,Sangal ALTERS,131591,1,3
1449857,cs-go,2026-04-17 14:57:41+00:00,Main Stage,Season 25 2026,134320,aimclub,138146,Drama eSports,134320,1,3
1431936,cs-go,2026-04-17 15:54:20+00:00,Group Stage,Season 7 2026,129160,MOUZ NXT,137932,ex-RUBY,137932,0,3
1436336,cs-go,2026-04-17 16:47:15+00:00,Playoffs,Rio 2026,124523,Spirit,3240,MOUZ,124523,1,3
1449858,cs-go,2026-04-17 17:47:20+00:00,Main Stage,Season 25 2026,130059,Eternal Fire Academy,138477,CSGOPOSITIVE,130059,1,3
1431937,cs-go,2026-04-17 18:37:20+00:00,Group Stage,Season 7 2026,133542,CYBERSHOKE Esports,137080,MANA eSports,133542,1,3
1438016,cs-go,2026-04-17 18:48:13+00:00,Regular Season,Advanced Europe season 57 2026,132459,ROUNDS,135978,eternal premium,135978,0,1
1436337,cs-go,2026-04-17 19:59:25+00:00,Playoffs,Rio 2026,3455,Vitality,3216,Natus Vincere,3455,1,3
1449859,cs-go,2026-04-17 20:26:07+00:00,Main Stage,Season 25 2026,137580, Phantom Academy,128766,Spirit Academy,128766,0,3
1447269,cs-go,2026-04-17 23:54:13+00:00,Playoffs,Challengers #1 2026,128378,Procyon Gaming,131849,paiN Academy,128378,1,3
1447270,cs-go,2026-04-18 01:23:28+00:00,Playoffs,Challengers #1 2026,130605,UNO MILLE,138276,ALKA GAMING,130605,1,3
1438963,cs-go,2026-04-18 02:43:02+00:00,Playoffs,Open Series #4 2026,133211,DXA Esports,138015,Ding Cuts,138015,0,3
1438962,cs-go,2026-04-18 02:45:25+00:00,Playoffs,Open Series #4 2026,138092,Abyssal,127114,Rooster,127114,0,3
1448784,cs-go,2026-04-18 02:49:16+00:00,Playoffs,Eagle Masters season 7 2026,138440,insane players,132891,Zomblers,138440,1,3
1438964,cs-go,2026-04-18 06:08:49+00:00,Playoffs,Open Series #4 2026,127114,Rooster,138015,Ding Cuts,127114,1,3
1438965,cs-go,2026-04-18 06:08:57+00:00,Playoffs,Open Series #4 2026,138092,Abyssal,133211,DXA Esports,138092,1,3
1451289,cs-go,2026-04-18 09:47:30+00:00,Group B,Regular season 4 2026,136786,LPH Gaming,126491,NAVI Junior,126491,0,3
